"Batch", "n_neighbors = 1", "n_neighbors = 3", "n_neighbors = 5", "n_neighbors = 10", "n_neighbors = 20"
60,0.924805,0.921875,0.914062,0.944336,0.926758
61,0.927734,0.929688,0.916992,0.944336,0.920898
62,0.926758,0.926758,0.919922,0.948242,0.919922
63,0.930664,0.930664,0.925781,0.950195,0.931641
64,0.929688,0.93457,0.928711,0.955078,0.93457
65,0.927734,0.931641,0.922852,0.952148,0.928711
66,0.927734,0.929688,0.921875,0.955078,0.931641
67,0.928711,0.928711,0.926758,0.954102,0.9375
68,0.935547,0.936523,0.931641,0.953125,0.936523
69,0.932617,0.938477,0.932617,0.953125,0.932617
70,0.930664,0.938477,0.927734,0.947266,0.932617
71,0.935547,0.941406,0.930664,0.951172,0.933594
72,0.933594,0.94043,0.929688,0.949219,0.928711
73,0.938477,0.94043,0.930664,0.948242,0.931641
74,0.938477,0.939453,0.927734,0.942383,0.930664
75,0.938477,0.938477,0.926758,0.943359,0.929688
76,0.939453,0.941406,0.922852,0.942383,0.936523
77,0.941406,0.941406,0.923828,0.944336,0.935547
78,0.942383,0.946289,0.927734,0.945312,0.939453
79,0.942383,0.947266,0.929688,0.945312,0.94043
80,0.944336,0.950195,0.931641,0.947266,0.942383
81,0.950195,0.954102,0.936523,0.954102,0.946289
82,0.956055,0.958984,0.947266,0.954102,0.944336
83,0.960938,0.961914,0.956055,0.959961,0.946289
84,0.964844,0.964844,0.958984,0.962891,0.947266
85,0.964844,0.966797,0.960938,0.963867,0.949219
86,0.964844,0.974609,0.960938,0.959961,0.947266
87,0.96582,0.976562,0.961914,0.961914,0.948242
88,0.964844,0.976562,0.962891,0.961914,0.951172
89,0.963867,0.977539,0.967773,0.966797,0.952148
90,0.966797,0.979492,0.96875,0.967773,0.955078
91,0.96875,0.979492,0.966797,0.969727,0.956055
92,0.96875,0.977539,0.972656,0.972656,0.963867
93,0.976562,0.980469,0.975586,0.976562,0.964844
94,0.983398,0.983398,0.979492,0.977539,0.969727
95,0.986328,0.982422,0.984375,0.981445,0.97168
96,0.986328,0.983398,0.988281,0.982422,0.973633
97,0.985352,0.985352,0.986328,0.982422,0.973633
98,0.990234,0.989258,0.985352,0.982422,0.980469
99,0.994141,0.985352,0.982422,0.988281,0.976562
100,0.995117,0.990234,0.992188,0.993164,0.982422
101,0.993164,0.991211,0.994141,0.994141,0.986328
102,0.990234,0.990234,0.993164,0.994141,0.988281
103,0.989258,0.995117,0.990234,0.993164,0.993164
104,0.984375,0.990234,0.996094,0.993164,0.995117
105,0.983398,0.988281,0.996094,0.992188,0.995117
106,0.982422,0.988281,0.990234,0.989258,0.991211
107,0.979492,0.984375,0.987305,0.986328,0.990234
108,0.973633,0.975586,0.982422,0.978516,0.990234
109,0.96582,0.96875,0.973633,0.973633,0.988281
110,0.967773,0.966797,0.972656,0.977539,0.986328
111,0.962891,0.963867,0.96582,0.97168,0.983398
112,0.957031,0.960938,0.962891,0.967773,0.981445
113,0.958008,0.959961,0.960938,0.962891,0.974609
114,0.956055,0.960938,0.959961,0.958984,0.970703
115,0.950195,0.951172,0.952148,0.951172,0.966797
116,0.948242,0.949219,0.953125,0.951172,0.961914
117,0.946289,0.945312,0.951172,0.948242,0.959961
118,0.944336,0.94043,0.944336,0.942383,0.958984
119,0.933594,0.936523,0.94043,0.9375,0.953125
120,0.757812,0.750977,0.75,0.75,0.75
121,0.765625,0.756836,0.755859,0.75,0.75
122,0.767578,0.759766,0.756836,0.751953,0.75
123,0.771484,0.767578,0.761719,0.756836,0.75
124,0.774414,0.772461,0.768555,0.768555,0.762695
125,0.779297,0.775391,0.775391,0.772461,0.772461
126,0.787109,0.78418,0.78125,0.780273,0.78125
127,0.789062,0.78418,0.787109,0.78125,0.78418
128,0.792969,0.790039,0.793945,0.791992,0.792969
129,0.797852,0.794922,0.798828,0.801758,0.797852
130,0.799805,0.799805,0.801758,0.804688,0.802734
131,0.801758,0.803711,0.804688,0.806641,0.810547
132,0.802734,0.803711,0.807617,0.80957,0.80957
133,0.804688,0.803711,0.80957,0.8125,0.80957
134,0.803711,0.807617,0.806641,0.814453,0.813477
135,0.802734,0.810547,0.802734,0.808594,0.81543
136,0.803711,0.810547,0.800781,0.807617,0.816406
137,0.797852,0.802734,0.802734,0.808594,0.817383
138,0.800781,0.801758,0.799805,0.808594,0.813477
139,0.796875,0.799805,0.799805,0.807617,0.81543
140,0.792969,0.791016,0.791992,0.798828,0.808594
141,0.791016,0.791016,0.795898,0.796875,0.810547
142,0.795898,0.793945,0.797852,0.797852,0.813477
143,0.798828,0.793945,0.795898,0.791992,0.807617
144,0.807617,0.811523,0.796875,0.794922,0.810547
145,0.8125,0.817383,0.804688,0.800781,0.81543
146,0.816406,0.823242,0.813477,0.801758,0.817383
147,0.819336,0.826172,0.816406,0.80957,0.822266
148,0.823242,0.826172,0.825195,0.810547,0.824219
149,0.830078,0.84082,0.832031,0.823242,0.833984
150,0.834961,0.845703,0.838867,0.826172,0.84082
151,0.838867,0.845703,0.841797,0.829102,0.844727
152,0.839844,0.833008,0.839844,0.832031,0.841797
153,0.848633,0.834961,0.839844,0.832031,0.847656
