"Batch", "max_window_size = 50", "max_window_size = 100", "max_window_size = 300", "max_window_size = 500", "max_window_size = 1000", "max_window_size = 2000"
225,0.861328,0.850586,0.827148,0.838867,0.810547,0.807617
226,0.859375,0.844727,0.87207,0.830078,0.810547,0.804688
227,0.889648,0.863281,0.87207,0.833008,0.81543,0.797852
228,0.87207,0.861328,0.871094,0.817383,0.814453,0.802734
229,0.880859,0.881836,0.869141,0.826172,0.802734,0.798828
230,0.913086,0.897461,0.866211,0.825195,0.817383,0.795898
231,0.954102,0.897461,0.875977,0.825195,0.811523,0.794922
232,0.885742,0.901367,0.867188,0.821289,0.813477,0.793945
233,0.860352,0.901367,0.869141,0.824219,0.804688,0.78418
234,0.853516,0.914062,0.868164,0.823242,0.801758,0.77832
235,0.896484,0.890625,0.868164,0.823242,0.796875,0.780273
236,0.979492,0.905273,0.879883,0.869141,0.802734,0.783203
237,0.935547,0.931641,0.884766,0.87207,0.802734,0.78125
238,0.932617,0.946289,0.889648,0.878906,0.811523,0.780273
239,0.901367,0.93457,0.893555,0.883789,0.808594,0.78125
240,0.898438,0.910156,0.900391,0.882812,0.823242,0.78125
241,0.925781,0.94043,0.90918,0.881836,0.820312,0.77832
242,0.941406,0.944336,0.916016,0.880859,0.825195,0.777344
243,0.917969,0.9375,0.916992,0.884766,0.827148,0.777344
244,0.882812,0.919922,0.908203,0.884766,0.831055,0.77832
245,0.883789,0.920898,0.910156,0.884766,0.834961,0.779297
246,0.939453,0.913086,0.914062,0.887695,0.839844,0.777344
247,0.927734,0.916992,0.919922,0.898438,0.84082,0.77832
248,0.917969,0.913086,0.919922,0.90332,0.841797,0.77832
249,0.875977,0.919922,0.917969,0.905273,0.874023,0.783203
250,0.848633,0.886719,0.907227,0.897461,0.878906,0.786133
251,0.884766,0.879883,0.901367,0.902344,0.875977,0.788086
252,0.916016,0.875,0.90332,0.905273,0.875977,0.791992
253,0.954102,0.897461,0.910156,0.911133,0.883789,0.790039
254,0.948242,0.927734,0.908203,0.913086,0.887695,0.792969
255,0.949219,0.9375,0.902344,0.90918,0.883789,0.795898
256,0.942383,0.945312,0.899414,0.910156,0.882812,0.802734
257,0.960938,0.955078,0.90918,0.911133,0.882812,0.804688
258,0.963867,0.949219,0.927734,0.920898,0.884766,0.804688
259,0.944336,0.960938,0.942383,0.918945,0.884766,0.803711
260,0.946289,0.950195,0.930664,0.916992,0.884766,0.803711
261,0.933594,0.969727,0.931641,0.922852,0.882812,0.808594
262,0.944336,0.962891,0.93457,0.926758,0.886719,0.811523
263,0.979492,0.949219,0.935547,0.926758,0.893555,0.816406
264,0.962891,0.951172,0.939453,0.919922,0.891602,0.818359
265,0.983398,0.962891,0.953125,0.921875,0.892578,0.822266
266,0.923828,0.944336,0.957031,0.920898,0.891602,0.824219
267,0.936523,0.957031,0.949219,0.930664,0.887695,0.829102
268,0.910156,0.932617,0.950195,0.938477,0.890625,0.831055
269,0.892578,0.916016,0.953125,0.943359,0.888672,0.834961
270,0.950195,0.915039,0.959961,0.949219,0.893555,0.834961
271,0.964844,0.958984,0.955078,0.956055,0.897461,0.832031
272,0.874023,0.942383,0.948242,0.952148,0.900391,0.832031
273,0.881836,0.945312,0.950195,0.953125,0.90625,0.834961
274,0.842773,0.920898,0.9375,0.947266,0.911133,0.841797
275,0.893555,0.895508,0.938477,0.947266,0.90918,0.84082
276,0.892578,0.897461,0.954102,0.946289,0.907227,0.839844
277,0.901367,0.90332,0.953125,0.945312,0.910156,0.87207
278,0.948242,0.910156,0.94043,0.930664,0.916016,0.875
279,0.898438,0.918945,0.925781,0.930664,0.916992,0.875977
280,0.945312,0.923828,0.923828,0.945312,0.917969,0.884766
281,0.912109,0.919922,0.919922,0.930664,0.920898,0.886719
282,0.90332,0.916992,0.916992,0.927734,0.912109,0.893555
283,0.908203,0.908203,0.929688,0.935547,0.911133,0.891602
284,0.894531,0.910156,0.930664,0.931641,0.90918,0.890625
285,0.897461,0.910156,0.932617,0.932617,0.914062,0.90918
286,0.915039,0.931641,0.935547,0.932617,0.920898,0.907227
287,0.917969,0.928711,0.933594,0.933594,0.924805,0.913086
288,0.891602,0.891602,0.932617,0.924805,0.935547,0.905273
289,0.893555,0.926758,0.936523,0.923828,0.931641,0.900391
290,0.910156,0.932617,0.936523,0.927734,0.930664,0.900391
291,0.897461,0.919922,0.932617,0.931641,0.921875,0.901367
292,0.858398,0.892578,0.926758,0.927734,0.929688,0.904297
293,0.871094,0.888672,0.944336,0.925781,0.926758,0.904297
294,0.863281,0.896484,0.939453,0.925781,0.920898,0.90332
295,0.902344,0.897461,0.930664,0.93457,0.922852,0.905273
296,0.939453,0.918945,0.921875,0.938477,0.917969,0.907227
297,0.94043,0.952148,0.908203,0.94043,0.919922,0.911133
298,0.896484,0.925781,0.914062,0.933594,0.917969,0.916016
299,0.900391,0.923828,0.900391,0.938477,0.925781,0.915039
300,0.918945,0.915039,0.897461,0.935547,0.928711,0.914062
301,0.901084,0.907409,0.903633,0.898861,0.878359,0.839482
