"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 50"
143,0.956,0.956,0.964,0.972,0.972
144,0.952,0.96,0.968,0.972,0.972
145,0.96,0.96,0.96,0.964,0.964
146,0.964,0.968,0.972,0.976,0.976
147,0.98,0.984,1.0,0.996,0.996
148,0.976,0.98,0.98,0.98,0.98
149,0.988,0.992,0.992,0.992,0.992
150,0.992,0.988,0.984,0.984,0.984
151,0.884,0.884,0.884,0.88,0.88
152,0.888,0.888,0.888,0.888,0.888
153,0.932,0.932,0.932,0.932,0.932
154,0.968,0.968,0.968,0.98,0.98
155,0.968,0.968,0.968,0.972,0.972
156,0.936,0.932,0.932,0.944,0.944
157,0.948,0.944,0.944,0.948,0.948
158,0.972,0.976,0.976,0.976,0.976
159,0.968,0.968,0.968,0.968,0.968
160,0.968,0.968,0.964,0.964,0.964
161,0.96,0.964,0.964,0.964,0.964
162,0.956,0.96,0.96,0.96,0.96
163,0.932,0.972,0.96,0.972,0.972
164,0.976,0.976,0.984,0.98,0.98
165,0.552,0.928,0.98,0.98,0.98
166,0.94,0.932,0.956,0.956,0.956
167,0.932,0.952,0.952,0.952,0.952
168,0.96,0.98,0.98,0.98,0.98
169,0.976,0.984,0.984,0.984,0.984
170,0.98,0.984,0.984,0.984,0.984
171,0.548,0.976,0.972,0.976,0.976
172,0.952,0.976,0.976,0.976,0.976
173,0.976,0.964,0.972,0.98,0.98
174,0.96,0.96,0.964,0.972,0.972
175,0.968,0.968,0.968,0.968,0.968
176,0.984,0.984,0.984,0.984,0.984
177,0.964,0.96,0.964,0.972,0.972
178,0.556,0.984,0.988,0.988,0.988
179,0.992,0.996,0.98,0.98,0.98
180,0.988,0.988,0.984,0.98,0.98
181,0.984,0.988,0.98,0.98,0.98
182,1.0,1.0,1.0,0.996,0.996
183,0.996,0.996,0.996,0.996,0.996
184,0.988,0.992,0.988,0.988,0.988
185,0.972,0.972,0.972,0.972,0.972
186,0.992,0.996,0.996,0.992,0.992
187,0.98,0.992,0.98,0.98,0.98
188,0.988,0.992,0.988,0.984,0.984
189,0.976,0.976,0.976,0.976,0.976
190,0.984,0.984,0.984,0.984,0.984
191,0.984,0.984,0.984,0.984,0.984
192,0.572,0.976,0.976,0.988,0.988
193,0.984,0.984,0.984,0.98,0.98
194,0.98,0.98,0.98,0.98,0.98
195,0.964,0.996,0.996,0.996,0.996
196,0.9,0.992,0.992,0.992,0.992
197,0.908,0.964,0.968,0.964,0.964
198,0.916,0.972,0.984,0.976,0.976
199,0.936,0.972,0.98,0.98,0.98
200,0.94,0.972,0.976,0.976,0.976
201,0.93552,0.9647,0.97028,0.9708,0.97082
