"Batches", "theta = 0.01", "theta = 0.001", "theta = 0.0001", "theta = 0.05", "theta = 0.1"
144,0.96,0.96,0.96,0.96,0.96
145,0.96,0.96,0.96,0.96,0.96
146,0.968,0.968,0.968,0.968,0.968
147,0.984,0.984,0.984,0.984,0.984
148,0.98,0.98,0.98,0.98,0.98
149,0.992,0.992,0.992,0.992,0.992
150,0.988,0.988,0.988,0.988,0.988
151,0.884,0.884,0.884,0.884,0.884
152,0.888,0.888,0.888,0.888,0.888
153,0.932,0.932,0.932,0.932,0.932
154,0.968,0.968,0.968,0.968,0.968
155,0.968,0.968,0.968,0.968,0.968
156,0.932,0.932,0.932,0.932,0.932
157,0.944,0.944,0.944,0.944,0.944
158,0.976,0.976,0.976,0.976,0.976
159,0.968,0.968,0.968,0.968,0.968
160,0.968,0.968,0.968,0.968,0.968
161,0.964,0.964,0.964,0.964,0.964
162,0.96,0.96,0.96,0.96,0.96
163,0.972,0.972,0.972,0.972,0.972
164,0.976,0.976,0.976,0.976,0.976
165,0.928,0.928,0.928,0.928,0.928
166,0.932,0.932,0.932,0.932,0.932
167,0.952,0.952,0.952,0.952,0.952
168,0.98,0.98,0.98,0.98,0.98
169,0.984,0.984,0.984,0.984,0.984
170,0.984,0.984,0.984,0.984,0.984
171,0.976,0.976,0.976,0.976,0.976
172,0.976,0.976,0.976,0.976,0.976
173,0.964,0.964,0.964,0.964,0.964
174,0.96,0.96,0.96,0.96,0.96
175,0.968,0.968,0.968,0.968,0.968
176,0.984,0.984,0.984,0.984,0.984
177,0.96,0.96,0.96,0.96,0.96
178,0.984,0.984,0.984,0.984,0.984
179,0.996,0.996,0.996,0.996,0.996
180,0.988,0.988,0.988,0.988,0.988
181,0.988,0.988,0.988,0.988,0.988
182,1.0,1.0,1.0,1.0,1.0
183,0.996,0.996,0.996,0.996,0.996
184,0.992,0.992,0.992,0.992,0.992
185,0.972,0.972,0.972,0.972,0.972
186,0.996,0.996,0.996,0.996,0.996
187,0.992,0.992,0.992,0.992,0.992
188,0.992,0.992,0.992,0.992,0.992
189,0.976,0.976,0.976,0.976,0.976
190,0.984,0.984,0.984,0.984,0.984
191,0.984,0.984,0.984,0.984,0.984
192,0.976,0.976,0.976,0.976,0.976
193,0.984,0.984,0.984,0.984,0.984
194,0.98,0.98,0.98,0.98,0.98
195,0.996,0.996,0.996,0.996,0.996
196,0.992,0.992,0.992,0.992,0.992
197,0.964,0.964,0.964,0.964,0.964
198,0.972,0.972,0.972,0.972,0.972
199,0.972,0.972,0.972,0.972,0.972
200,0.972,0.972,0.972,0.972,0.972
201,0.9647,0.9647,0.9647,0.9647,0.9647
