"Batch", "beta = 0.1", "beta = 0.25", "beta = 0.5", "beta = 0.75", "beta = 0.9"
117,0.989258,0.989258,0.991211,0.991211,0.991211
118,0.990234,0.990234,0.991211,0.991211,0.991211
119,0.989258,0.989258,0.991211,0.991211,0.991211
120,0.75,0.75,0.75,0.75,0.75
121,0.751953,0.751953,0.75293,0.75293,0.75293
122,0.757812,0.757812,0.759766,0.758789,0.758789
123,0.542969,0.542969,0.75293,0.75293,0.75293
124,0.761719,0.761719,0.768555,0.768555,0.768555
125,0.767578,0.767578,0.772461,0.772461,0.772461
126,0.776367,0.776367,0.777344,0.777344,0.777344
127,0.776367,0.776367,0.77832,0.77832,0.77832
128,0.78125,0.78125,0.780273,0.780273,0.780273
129,0.782227,0.782227,0.783203,0.783203,0.783203
130,0.78418,0.78418,0.78418,0.78418,0.78418
131,0.787109,0.787109,0.787109,0.787109,0.787109
132,0.787109,0.787109,0.787109,0.787109,0.787109
133,0.789062,0.789062,0.789062,0.789062,0.789062
134,0.791016,0.791016,0.791992,0.791992,0.791992
135,0.792969,0.792969,0.794922,0.794922,0.794922
136,0.794922,0.794922,0.795898,0.795898,0.795898
137,0.794922,0.794922,0.795898,0.795898,0.795898
138,0.793945,0.793945,0.796875,0.796875,0.796875
139,0.793945,0.793945,0.796875,0.796875,0.796875
140,0.794922,0.794922,0.799805,0.799805,0.799805
141,0.793945,0.793945,0.798828,0.798828,0.798828
142,0.795898,0.795898,0.799805,0.799805,0.799805
143,0.796875,0.796875,0.799805,0.799805,0.799805
144,0.794922,0.794922,0.798828,0.798828,0.798828
145,0.795898,0.795898,0.799805,0.799805,0.799805
146,0.796875,0.796875,0.799805,0.799805,0.799805
147,0.797852,0.797852,0.800781,0.800781,0.800781
148,0.797852,0.797852,0.798828,0.798828,0.798828
149,0.797852,0.797852,0.798828,0.798828,0.798828
150,0.798828,0.798828,0.799805,0.799805,0.799805
151,0.798828,0.798828,0.800781,0.800781,0.800781
152,0.798828,0.798828,0.799805,0.799805,0.799805
153,0.794922,0.794922,0.795898,0.795898,0.795898
154,0.794922,0.794922,0.795898,0.795898,0.795898
155,0.794922,0.794922,0.795898,0.795898,0.795898
156,0.794922,0.794922,0.795898,0.795898,0.795898
157,0.794922,0.794922,0.795898,0.795898,0.795898
158,0.794922,0.794922,0.794922,0.794922,0.794922
159,0.794922,0.794922,0.795898,0.795898,0.795898
160,0.717773,0.717773,0.72168,0.72168,0.72168
161,0.716797,0.716797,0.720703,0.720703,0.720703
162,0.730469,0.730469,0.736328,0.736328,0.736328
163,0.728516,0.728516,0.733398,0.733398,0.733398
164,0.727539,0.727539,0.731445,0.731445,0.731445
165,0.918945,0.871094,0.727539,0.549805,0.549805
166,0.928711,0.879883,0.728516,0.720703,0.720703
167,0.936523,0.885742,0.735352,0.733398,0.733398
168,0.943359,0.891602,0.744141,0.739258,0.739258
169,0.947266,0.895508,0.748047,0.745117,0.745117
170,0.950195,0.897461,0.75,0.749023,0.749023
