"Batches", "theta = 0.01", "theta = 0.001", "theta = 0.0001", "theta = 0.05", "theta = 0.1"
117,0.991211,0.991211,0.991211,0.991211,0.991211
118,0.991211,0.991211,0.991211,0.991211,0.991211
119,0.991211,0.991211,0.991211,0.991211,0.991211
120,0.75,0.75,0.75,0.75,0.75
121,0.75293,0.75293,0.75293,0.75293,0.75293
122,0.759766,0.759766,0.759766,0.759766,0.759766
123,0.75293,0.75293,0.75293,0.75293,0.75293
124,0.768555,0.768555,0.768555,0.768555,0.768555
125,0.772461,0.772461,0.772461,0.772461,0.772461
126,0.777344,0.777344,0.777344,0.777344,0.777344
127,0.77832,0.77832,0.77832,0.77832,0.77832
128,0.780273,0.780273,0.780273,0.780273,0.780273
129,0.783203,0.783203,0.783203,0.783203,0.783203
130,0.78418,0.78418,0.78418,0.78418,0.78418
131,0.787109,0.787109,0.787109,0.787109,0.787109
132,0.787109,0.787109,0.787109,0.787109,0.787109
133,0.789062,0.789062,0.789062,0.789062,0.789062
134,0.791992,0.791992,0.791992,0.791992,0.791992
135,0.794922,0.794922,0.794922,0.794922,0.794922
136,0.795898,0.795898,0.795898,0.795898,0.795898
137,0.795898,0.795898,0.795898,0.795898,0.795898
138,0.796875,0.796875,0.796875,0.796875,0.796875
139,0.796875,0.796875,0.796875,0.796875,0.796875
140,0.799805,0.799805,0.799805,0.799805,0.799805
141,0.798828,0.798828,0.798828,0.798828,0.798828
142,0.799805,0.799805,0.799805,0.799805,0.799805
143,0.799805,0.799805,0.799805,0.799805,0.799805
144,0.798828,0.798828,0.798828,0.798828,0.798828
145,0.799805,0.799805,0.799805,0.799805,0.799805
146,0.799805,0.799805,0.799805,0.799805,0.799805
147,0.800781,0.800781,0.800781,0.800781,0.800781
148,0.798828,0.798828,0.798828,0.798828,0.798828
149,0.798828,0.798828,0.798828,0.798828,0.798828
150,0.799805,0.799805,0.799805,0.799805,0.799805
151,0.800781,0.800781,0.800781,0.800781,0.800781
152,0.799805,0.799805,0.799805,0.799805,0.799805
153,0.795898,0.795898,0.795898,0.795898,0.795898
154,0.795898,0.795898,0.795898,0.795898,0.795898
155,0.795898,0.795898,0.795898,0.795898,0.795898
156,0.795898,0.795898,0.795898,0.795898,0.795898
157,0.795898,0.795898,0.795898,0.795898,0.795898
158,0.794922,0.794922,0.794922,0.794922,0.794922
159,0.795898,0.795898,0.795898,0.795898,0.795898
160,0.72168,0.72168,0.72168,0.72168,0.72168
161,0.720703,0.720703,0.720703,0.720703,0.720703
162,0.736328,0.736328,0.736328,0.736328,0.736328
163,0.733398,0.733398,0.733398,0.733398,0.733398
164,0.731445,0.731445,0.731445,0.731445,0.731445
165,0.727539,0.727539,0.727539,0.727539,0.727539
166,0.728516,0.728516,0.728516,0.728516,0.728516
167,0.735352,0.735352,0.735352,0.735352,0.735352
168,0.744141,0.744141,0.744141,0.744141,0.744141
169,0.748047,0.748047,0.748047,0.748047,0.748047
170,0.75,0.75,0.75,0.75,0.75
171,0.750977,0.750977,0.750977,0.750977,0.750977
172,0.748047,0.748047,0.748047,0.748047,0.748047
173,0.751953,0.751953,0.751953,0.751953,0.751953
174,0.751953,0.751953,0.751953,0.751953,0.751953
175,0.751953,0.751953,0.751953,0.751953,0.751953
176,0.75293,0.75293,0.75293,0.75293,0.75293
177,0.754883,0.754883,0.754883,0.754883,0.754883
178,0.756836,0.756836,0.756836,0.756836,0.756836
179,0.757812,0.757812,0.757812,0.757812,0.757812
180,0.677734,0.677734,0.677734,0.677734,0.677734
181,0.675781,0.675781,0.675781,0.675781,0.675781
182,0.68457,0.68457,0.68457,0.68457,0.68457
183,0.68457,0.68457,0.68457,0.68457,0.68457
184,0.6875,0.6875,0.6875,0.6875,0.6875
185,0.6875,0.6875,0.6875,0.6875,0.6875
186,0.679688,0.679688,0.679688,0.679688,0.679688
187,0.674805,0.674805,0.674805,0.674805,0.674805
188,0.775391,0.775391,0.775391,0.775391,0.775391
189,0.775391,0.775391,0.775391,0.775391,0.775391
190,0.776367,0.776367,0.776367,0.776367,0.776367
191,0.779297,0.779297,0.779297,0.779297,0.779297
192,0.78125,0.78125,0.78125,0.78125,0.78125
193,0.78418,0.78418,0.78418,0.78418,0.78418
194,0.785156,0.785156,0.785156,0.785156,0.785156
195,0.786133,0.786133,0.786133,0.786133,0.786133
196,0.794922,0.794922,0.794922,0.794922,0.794922
197,0.795898,0.795898,0.795898,0.795898,0.795898
198,0.830078,0.830078,0.830078,0.830078,0.830078
199,0.902344,0.902344,0.902344,0.902344,0.902344
