"Batches", "period = 10", "period = 25", "period = 50", "period = 75", "period = 100"
118,0.910156,0.990234,0.991211,0.984375,0.987305
119,0.910156,0.991211,0.991211,0.986328,0.988281
120,0.75,0.75,0.75,0.75,0.75
121,0.617188,0.751953,0.75293,0.751953,0.75293
122,0.767578,0.759766,0.759766,0.759766,0.759766
123,0.576172,0.753906,0.75293,0.762695,0.762695
124,0.770508,0.765625,0.768555,0.768555,0.767578
125,0.78418,0.770508,0.772461,0.772461,0.771484
126,0.567383,0.786133,0.777344,0.77832,0.776367
127,0.774414,0.790039,0.77832,0.77832,0.77832
128,0.833984,0.793945,0.780273,0.782227,0.78125
129,0.825195,0.797852,0.783203,0.78418,0.783203
130,0.822266,0.799805,0.78418,0.786133,0.783203
131,0.735352,0.801758,0.787109,0.788086,0.785156
132,0.819336,0.803711,0.787109,0.789062,0.787109
133,0.817383,0.799805,0.789062,0.789062,0.787109
134,0.814453,0.800781,0.791992,0.792969,0.791992
135,0.824219,0.805664,0.794922,0.796875,0.793945
136,0.803711,0.805664,0.795898,0.795898,0.793945
137,0.845703,0.805664,0.795898,0.795898,0.794922
138,0.851562,0.807617,0.796875,0.798828,0.796875
139,0.623047,0.808594,0.796875,0.56543,0.796875
140,0.773438,0.80957,0.799805,0.791992,0.796875
141,0.860352,0.807617,0.798828,0.789062,0.794922
142,0.878906,0.607422,0.799805,0.798828,0.798828
143,0.874023,0.740234,0.799805,0.776367,0.799805
144,0.87207,0.737305,0.798828,0.756836,0.797852
145,0.891602,0.759766,0.799805,0.775391,0.798828
146,0.896484,0.760742,0.799805,0.776367,0.799805
147,0.912109,0.766602,0.800781,0.775391,0.799805
148,0.912109,0.78418,0.798828,0.783203,0.796875
149,0.912109,0.795898,0.798828,0.794922,0.796875
150,0.908203,0.799805,0.799805,0.799805,0.796875
151,0.914062,0.801758,0.800781,0.801758,0.797852
152,0.675781,0.800781,0.799805,0.800781,0.797852
153,0.914062,0.797852,0.795898,0.796875,0.795898
154,0.920898,0.797852,0.795898,0.796875,0.795898
155,0.921875,0.797852,0.795898,0.796875,0.795898
156,0.924805,0.797852,0.795898,0.796875,0.795898
157,0.938477,0.797852,0.795898,0.795898,0.795898
158,0.728516,0.798828,0.794922,0.799805,0.794922
159,0.891602,0.799805,0.795898,0.801758,0.794922
160,0.942383,0.799805,0.72168,0.737305,0.794922
161,0.933594,0.794922,0.720703,0.735352,0.793945
162,0.961914,0.797852,0.736328,0.750977,0.793945
163,0.944336,0.793945,0.733398,0.749023,0.792969
164,0.951172,0.791016,0.731445,0.748047,0.790039
165,0.956055,0.885742,0.727539,0.855469,0.539062
166,0.962891,0.889648,0.728516,0.858398,0.657227
167,0.952148,0.828125,0.735352,0.855469,0.767578
168,0.960938,0.874023,0.744141,0.859375,0.75
169,0.970703,0.897461,0.748047,0.874023,0.769531
170,0.984375,0.90625,0.75,0.888672,0.772461
171,0.986328,0.919922,0.750977,0.893555,0.777344
172,0.986328,0.956055,0.748047,0.889648,0.77832
173,0.989258,0.952148,0.751953,0.892578,0.776367
174,0.985352,0.888672,0.751953,0.895508,0.779297
175,0.984375,0.974609,0.751953,0.899414,0.77832
176,0.938477,0.985352,0.75293,0.899414,0.770508
177,0.933594,0.961914,0.754883,0.933594,0.771484
178,0.738281,0.924805,0.756836,0.932617,0.768555
179,0.978516,0.907227,0.757812,0.935547,0.773438
180,0.754883,0.743164,0.677734,0.754883,0.692383
181,0.520508,0.745117,0.675781,0.761719,0.694336
182,0.799805,0.760742,0.68457,0.773438,0.693359
183,0.920898,0.771484,0.68457,0.777344,0.692383
184,0.947266,0.772461,0.6875,0.780273,0.691406
185,0.923828,0.78125,0.6875,0.78418,0.357422
186,0.94043,0.798828,0.679688,0.791016,0.708984
187,0.771484,0.803711,0.674805,0.791992,0.711914
188,0.856445,0.807617,0.775391,0.794922,0.713867
189,0.894531,0.826172,0.775391,0.794922,0.714844
190,0.900391,0.850586,0.776367,0.796875,0.716797
191,0.902344,0.867188,0.779297,0.798828,0.71875
192,0.922852,0.853516,0.78125,0.800781,0.71875
193,0.652344,0.862305,0.78418,0.803711,0.717773
194,0.666016,0.869141,0.785156,0.801758,0.717773
195,0.69043,0.870117,0.786133,0.801758,0.859375
196,0.829102,0.870117,0.794922,0.806641,0.861328
197,0.871094,0.913086,0.795898,0.805664,0.861328
198,0.919922,0.985352,0.830078,0.807617,0.866211
199,0.432617,0.867188,0.902344,0.867188,0.865234
200,0.679688,0.750977,0.542969,0.923828,0.884766
201,0.824219,0.779297,0.832031,0.900391,0.90625
202,0.852539,0.830078,0.832031,0.894531,0.929688
203,0.852539,0.834961,0.835938,0.888672,0.931641
204,0.546875,0.857422,0.856445,0.881836,0.94043
205,0.885742,0.869141,0.866211,0.882812,0.939453
206,0.864258,0.847656,0.871094,0.885742,0.927734
207,0.479492,0.860352,0.861328,0.882812,0.926758
208,0.723633,0.811523,0.737305,0.878906,0.904297
209,0.774414,0.782227,0.802734,0.876953,0.895508
210,0.475586,0.617188,0.547852,0.65332,0.368164
211,0.445312,0.689453,0.766602,0.879883,0.728516
212,0.708984,0.677734,0.740234,0.87207,0.712891
213,0.729492,0.693359,0.697266,0.862305,0.734375
214,0.765625,0.505859,0.75,0.862305,0.727539
215,0.765625,0.649414,0.717773,0.853516,0.700195
216,0.776367,0.641602,0.705078,0.847656,0.700195
217,0.779297,0.664062,0.71875,0.84082,0.696289
218,0.753906,0.711914,0.706055,0.818359,0.650391
219,0.755859,0.730469,0.755859,0.837891,0.666992
220,0.803711,0.790039,0.77832,0.814453,0.62793
221,0.819336,0.805664,0.811523,0.808594,0.625
222,0.65332,0.824219,0.819336,0.603516,0.629883
223,0.850586,0.831055,0.819336,0.607422,0.629883
224,0.858398,0.837891,0.826172,0.625,0.640625
225,0.865234,0.842773,0.833984,0.754883,0.669922
226,0.868164,0.849609,0.839844,0.782227,0.681641
227,0.869141,0.822266,0.839844,0.786133,0.683594
228,0.868164,0.835938,0.841797,0.795898,0.683594
229,0.865234,0.839844,0.837891,0.790039,0.681641
230,0.860352,0.845703,0.836914,0.799805,0.692383
231,0.862305,0.849609,0.839844,0.808594,0.696289
232,0.864258,0.851562,0.84082,0.813477,0.698242
233,0.861328,0.850586,0.838867,0.84375,0.705078
234,0.857422,0.848633,0.84082,0.847656,0.706055
235,0.861328,0.852539,0.84082,0.852539,0.710938
236,0.868164,0.865234,0.849609,0.864258,0.734375
237,0.870117,0.864258,0.852539,0.868164,0.743164
238,0.87207,0.866211,0.856445,0.867188,0.759766
239,0.871094,0.871094,0.854492,0.873047,0.769531
240,0.87793,0.873047,0.864258,0.879883,0.867188
241,0.87793,0.875,0.865234,0.878906,0.868164
242,0.878906,0.875,0.867188,0.879883,0.871094
243,0.878906,0.876953,0.868164,0.87793,0.871094
244,0.87793,0.875,0.866211,0.878906,0.869141
245,0.879883,0.87793,0.867188,0.880859,0.87207
246,0.880859,0.878906,0.868164,0.881836,0.87207
247,0.881836,0.880859,0.870117,0.881836,0.874023
248,0.882812,0.879883,0.874023,0.882812,0.875977
249,0.882812,0.879883,0.87793,0.882812,0.878906
250,0.882812,0.879883,0.87793,0.882812,0.879883
251,0.882812,0.881836,0.876953,0.882812,0.879883
252,0.882812,0.882812,0.874023,0.884766,0.87793
253,0.749023,0.882812,0.881836,0.885742,0.879883
254,0.768555,0.884766,0.880859,0.887695,0.879883
255,0.893555,0.886719,0.885742,0.890625,0.883789
256,0.893555,0.887695,0.885742,0.890625,0.883789
257,0.892578,0.889648,0.881836,0.892578,0.882812
258,0.894531,0.890625,0.886719,0.894531,0.884766
259,0.894531,0.889648,0.884766,0.894531,0.882812
260,0.893555,0.889648,0.883789,0.893555,0.883789
261,0.868164,0.888672,0.884766,0.892578,0.884766
262,0.865234,0.888672,0.886719,0.891602,0.886719
263,0.838867,0.891602,0.888672,0.895508,0.887695
264,0.90625,0.892578,0.888672,0.895508,0.888672
265,0.918945,0.894531,0.890625,0.898438,0.890625
266,0.831055,0.894531,0.890625,0.897461,0.889648
267,0.904297,0.894531,0.890625,0.897461,0.889648
268,0.910156,0.714844,0.709961,0.897461,0.889648
269,0.905273,0.868164,0.864258,0.898438,0.890625
270,0.915039,0.838867,0.833984,0.901367,0.894531
271,0.921875,0.842773,0.838867,0.902344,0.895508
272,0.917969,0.842773,0.839844,0.898438,0.894531
273,0.666016,0.860352,0.855469,0.901367,0.893555
274,0.898438,0.853516,0.850586,0.898438,0.891602
275,0.666016,0.666016,0.666016,0.899414,0.333008
276,0.832031,0.765625,0.754883,0.901367,0.732422
277,0.890625,0.804688,0.795898,0.901367,0.785156
278,0.890625,0.817383,0.807617,0.902344,0.838867
279,0.894531,0.814453,0.805664,0.904297,0.839844
280,0.902344,0.816406,0.806641,0.90332,0.833984
281,0.890625,0.807617,0.800781,0.904297,0.823242
282,0.666016,0.807617,0.798828,0.902344,0.829102
283,0.90332,0.810547,0.800781,0.901367,0.822266
284,0.894531,0.805664,0.798828,0.905273,0.823242
285,0.890625,0.803711,0.795898,0.904297,0.825195
286,0.914062,0.804688,0.794922,0.90625,0.826172
287,0.912109,0.803711,0.794922,0.907227,0.824219
288,0.913086,0.869141,0.869141,0.905273,0.824219
289,0.896484,0.90918,0.87207,0.810547,0.830078
290,0.905273,0.910156,0.873047,0.842773,0.766602
291,0.90918,0.910156,0.873047,0.835938,0.764648
292,0.90332,0.905273,0.871094,0.84082,0.763672
293,0.90625,0.905273,0.870117,0.829102,0.764648
294,0.898438,0.579102,0.870117,0.826172,0.767578
295,0.878906,0.84375,0.902344,0.821289,0.913086
296,0.898438,0.866211,0.90332,0.823242,0.913086
297,0.888672,0.868164,0.899414,0.825195,0.913086
298,0.884766,0.876953,0.900391,0.830078,0.910156
299,0.892578,0.879883,0.90332,0.833008,0.912109
300,0.890625,0.879883,0.899414,0.832031,0.914062
301,0.870736,0.864574,0.851087,0.869388,0.838398
