"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", n_estimators = 20", "n_estimators = 40"
143,0.976,0.992,0.992,0.976,0.984
144,0.964,0.992,0.992,0.996,0.984
145,0.98,0.992,0.996,0.988,0.996
146,0.972,0.996,0.992,0.992,1.0
147,0.976,0.992,0.996,0.996,1.0
148,0.984,0.996,0.996,0.992,0.988
149,0.992,0.996,1.0,1.0,1.0
150,0.988,0.996,0.992,0.984,0.988
151,0.872,0.86,0.86,0.86,0.868
152,0.824,0.848,0.824,0.832,0.832
153,0.828,0.828,0.796,0.792,0.808
154,0.856,0.864,0.912,0.864,0.888
155,0.852,0.932,0.948,0.952,0.956
156,0.892,0.88,0.944,0.932,0.952
157,0.908,0.944,0.928,0.956,0.964
158,0.932,0.936,0.948,0.956,0.96
159,0.964,0.968,0.96,0.972,0.976
160,0.948,0.96,0.96,0.984,0.988
161,0.952,0.972,0.96,0.964,0.984
162,0.944,0.968,0.944,0.944,0.968
163,0.924,0.968,0.956,0.96,0.968
164,0.996,0.976,0.96,0.98,0.988
165,0.976,0.976,0.976,0.992,0.992
166,0.964,0.976,0.964,0.968,0.972
167,0.952,0.976,0.956,0.976,0.972
168,0.952,0.968,0.988,0.98,0.988
169,0.972,0.988,0.98,0.984,0.988
170,0.972,0.988,0.98,0.992,0.984
171,0.964,0.972,0.976,0.98,0.988
172,0.948,0.98,0.98,0.988,0.988
173,0.972,0.972,0.98,0.988,0.988
174,0.972,0.992,0.968,0.984,0.98
175,0.956,0.988,0.988,0.98,0.984
176,0.964,0.976,0.984,0.992,0.992
177,0.972,0.972,0.992,0.98,0.996
178,0.968,0.988,0.992,0.988,0.996
179,0.968,0.968,0.984,0.984,0.976
180,0.956,0.972,0.98,0.972,0.984
181,0.932,0.984,0.984,0.984,0.98
182,0.976,0.992,0.992,1.0,0.996
183,0.992,0.984,0.992,0.98,0.992
184,0.968,0.972,0.98,0.972,0.98
185,0.976,0.98,0.988,0.992,0.992
186,0.98,0.984,0.984,0.988,0.996
187,0.972,0.968,0.972,0.976,0.992
188,0.976,0.98,0.984,0.988,0.988
189,0.976,0.98,0.988,0.968,0.988
190,0.972,0.992,0.984,0.988,0.992
191,0.96,0.972,0.984,0.992,0.984
192,0.976,0.98,0.976,0.988,0.988
193,0.976,0.972,0.984,0.976,0.992
194,0.98,0.98,0.988,0.988,0.984
195,0.984,0.996,0.98,0.996,0.992
196,0.968,0.984,0.992,0.988,0.992
197,0.98,0.976,0.988,0.992,0.988
198,0.98,0.988,0.992,0.984,0.984
199,0.968,0.988,0.996,0.996,1.0
200,0.952,0.988,0.992,0.996,0.984
201,0.9517,0.961,0.96496,0.96714,0.96896
