"Batch", "split_confidence = 0.01", "split_confidence = 0.005", "split_confidence = 0.1", "split_confidence = 0.05"
175,0.972,0.988,0.98,0.972
176,0.976,0.984,0.98,0.992
177,0.988,0.988,0.98,0.988
178,0.988,0.992,0.984,0.992
179,0.98,0.976,0.984,0.984
180,0.968,0.968,0.976,0.972
181,0.984,0.988,0.984,0.984
182,0.988,0.992,0.988,0.996
183,0.984,0.992,0.992,0.98
184,0.98,0.984,0.984,0.984
185,0.988,0.996,0.996,0.992
186,0.988,0.984,0.984,0.984
187,0.98,0.976,0.968,0.976
188,0.988,0.98,0.976,0.98
189,0.988,0.98,0.98,0.984
190,0.98,0.988,0.984,0.992
191,0.976,0.976,0.984,0.984
192,0.984,0.992,0.992,0.996
193,0.988,0.976,0.988,0.992
194,0.992,0.988,0.996,0.984
195,0.992,0.996,0.984,0.992
196,0.98,0.996,0.98,1.0
197,0.98,0.988,0.996,0.992
198,0.996,0.988,0.984,0.992
199,0.992,0.988,0.984,0.992
200,0.98,0.98,0.98,0.984
201,0.96752,0.96802,0.96414,0.96644
