"Batches", "grace_period = 50", "grace_period = 25", "grace_period = 10", "grace_period = 75", "grace_period = 100"
144,0.988,0.988,0.98,0.984,0.976
145,0.996,0.996,0.992,0.996,0.988
146,0.996,0.992,0.992,0.988,0.984
147,0.996,0.996,1.0,0.996,0.992
148,0.988,0.988,0.996,0.988,1.0
149,1.0,0.996,0.996,1.0,0.996
150,0.996,0.988,0.992,0.988,0.992
151,0.868,0.864,0.868,0.856,0.864
152,0.848,0.836,0.824,0.824,0.82
153,0.816,0.804,0.788,0.792,0.812
154,0.88,0.864,0.828,0.832,0.884
155,0.936,0.896,0.86,0.956,0.964
156,0.952,0.876,0.84,0.948,0.928
157,0.956,0.944,0.876,0.96,0.952
158,0.94,0.956,0.892,0.94,0.94
159,0.976,0.968,0.932,0.972,0.964
160,0.964,0.968,0.968,0.968,0.976
161,0.964,0.956,0.944,0.968,0.976
162,0.976,0.956,0.94,0.964,0.968
163,0.964,0.936,0.944,0.932,0.98
164,0.98,0.968,0.98,0.98,0.988
165,0.992,0.98,0.976,0.984,0.988
166,0.976,0.956,0.964,0.964,0.968
167,0.98,0.968,0.96,0.968,0.956
168,0.976,0.98,0.976,0.984,0.988
169,0.984,0.984,0.988,0.984,0.984
170,0.996,0.992,0.984,0.984,0.992
171,0.988,0.972,0.984,0.996,0.988
172,0.968,0.96,0.972,0.988,0.988
173,0.984,0.984,0.98,0.976,0.984
174,0.984,0.98,0.972,1.0,0.968
175,0.98,0.984,0.968,0.988,0.968
176,0.988,0.988,0.968,0.988,0.98
177,0.984,0.984,0.976,0.988,0.984
178,0.988,0.988,0.988,0.992,0.992
179,0.984,0.972,0.976,0.988,0.992
180,0.98,0.98,0.96,0.98,0.976
181,0.996,0.996,0.968,0.988,0.972
182,0.996,0.988,0.988,0.992,1.0
183,0.992,0.984,0.968,0.992,0.988
184,0.98,0.984,0.976,0.98,0.98
185,0.988,0.984,0.988,0.988,0.996
186,0.984,0.992,0.98,0.996,0.98
187,0.976,0.964,0.972,0.98,0.992
188,0.992,0.972,0.976,0.98,0.988
189,0.984,0.98,0.984,0.992,0.988
190,0.984,0.988,0.976,0.996,0.988
191,0.992,0.976,0.976,0.984,0.992
192,0.992,0.984,0.992,0.992,0.984
193,0.98,0.972,0.98,0.988,0.984
194,0.996,0.996,0.992,0.992,0.988
195,0.996,0.996,0.996,0.992,0.988
196,0.98,0.988,0.972,0.976,0.988
197,0.996,0.976,0.992,0.988,1.0
198,0.988,0.988,0.98,0.988,0.988
199,0.996,0.992,0.984,0.988,0.98
200,0.992,0.984,0.976,0.98,0.976
201,0.96782,0.96208,0.96112,0.96648,0.96752
