"Batch", "split_confidence = 0.01", "split_confidence = 0.005", "split_confidence = 0.1", "split_confidence = 0.05"
144,0.84082,0.845703,0.833008,0.84082
145,0.841797,0.844727,0.839844,0.842773
146,0.84375,0.84375,0.829102,0.841797
147,0.857422,0.845703,0.835938,0.847656
148,0.861328,0.852539,0.836914,0.84668
149,0.861328,0.849609,0.836914,0.84375
150,0.861328,0.850586,0.835938,0.844727
151,0.855469,0.847656,0.836914,0.848633
152,0.853516,0.842773,0.834961,0.84375
153,0.855469,0.84668,0.838867,0.845703
154,0.856445,0.845703,0.835938,0.844727
155,0.859375,0.850586,0.837891,0.847656
156,0.852539,0.845703,0.830078,0.84668
157,0.847656,0.854492,0.844727,0.84082
158,0.845703,0.857422,0.860352,0.84082
159,0.854492,0.862305,0.868164,0.837891
160,0.853516,0.864258,0.875977,0.845703
161,0.856445,0.865234,0.875977,0.851562
162,0.869141,0.870117,0.875,0.858398
163,0.87207,0.875977,0.874023,0.857422
164,0.861328,0.867188,0.875,0.855469
165,0.867188,0.863281,0.878906,0.856445
166,0.87793,0.865234,0.879883,0.852539
167,0.882812,0.87207,0.875977,0.855469
168,0.887695,0.884766,0.883789,0.859375
169,0.891602,0.889648,0.884766,0.861328
170,0.894531,0.893555,0.886719,0.863281
171,0.892578,0.889648,0.889648,0.873047
172,0.899414,0.890625,0.892578,0.876953
173,0.904297,0.900391,0.894531,0.876953
174,0.899414,0.901367,0.896484,0.878906
175,0.90332,0.902344,0.895508,0.87793
176,0.902344,0.908203,0.898438,0.885742
177,0.898438,0.905273,0.900391,0.885742
178,0.880859,0.887695,0.898438,0.862305
179,0.889648,0.883789,0.897461,0.863281
180,0.648438,0.661133,0.647461,0.650391
181,0.651367,0.671875,0.646484,0.649414
182,0.65625,0.678711,0.651367,0.651367
183,0.663086,0.678711,0.651367,0.651367
184,0.661133,0.678711,0.651367,0.65332
185,0.661133,0.681641,0.652344,0.655273
186,0.660156,0.69043,0.65332,0.655273
187,0.662109,0.691406,0.651367,0.666992
188,0.662109,0.693359,0.670898,0.68457
189,0.663086,0.699219,0.664062,0.692383
190,0.665039,0.701172,0.666992,0.693359
191,0.664062,0.698242,0.657227,0.697266
192,0.666992,0.699219,0.661133,0.68457
193,0.666992,0.699219,0.665039,0.738281
194,0.669922,0.698242,0.475586,0.751953
195,0.668945,0.700195,0.699219,0.756836
196,0.673828,0.700195,0.707031,0.772461
197,0.673828,0.700195,0.700195,0.765625
198,0.673828,0.697266,0.697266,0.787109
199,0.674805,0.697266,0.712891,0.797852
200,0.676758,0.697266,0.717773,0.789062
201,0.708008,0.723633,0.717773,0.821289
202,0.719727,0.728516,0.475586,0.807617
203,0.736328,0.740234,0.755859,0.816406
204,0.753906,0.852539,0.820312,0.834961
205,0.774414,0.827148,0.817383,0.838867
206,0.808594,0.844727,0.833984,0.834961
207,0.798828,0.84668,0.833984,0.839844
208,0.830078,0.818359,0.77832,0.821289
209,0.818359,0.814453,0.776367,0.8125
210,0.819336,0.81543,0.807617,0.777344
211,0.796875,0.760742,0.780273,0.774414
212,0.771484,0.756836,0.786133,0.779297
213,0.759766,0.774414,0.806641,0.768555
214,0.757812,0.742188,0.799805,0.761719
215,0.763672,0.760742,0.800781,0.764648
216,0.766602,0.757812,0.777344,0.739258
217,0.748047,0.773438,0.765625,0.729492
218,0.753906,0.739258,0.789062,0.734375
219,0.760742,0.761719,0.775391,0.731445
220,0.780273,0.793945,0.833984,0.755859
221,0.782227,0.793945,0.833008,0.758789
222,0.786133,0.791992,0.787109,0.768555
