"Batches", "grace_period = 50", "grace_period = 25", "grace_period = 10", "grace_period = 75", "grace_period = 100"
117,0.943359,0.966797,0.984375,0.952148,0.963867
118,0.942383,0.94043,0.991211,0.951172,0.958008
119,0.939453,0.933594,0.991211,0.950195,0.958984
120,0.751953,0.75,0.75293,0.763672,0.756836
121,0.773438,0.759766,0.758789,0.789062,0.795898
122,0.798828,0.78418,0.767578,0.808594,0.800781
123,0.827148,0.806641,0.779297,0.810547,0.826172
124,0.819336,0.814453,0.77832,0.825195,0.820312
125,0.824219,0.8125,0.785156,0.848633,0.827148
126,0.84668,0.851562,0.803711,0.856445,0.84082
127,0.852539,0.848633,0.808594,0.864258,0.833984
128,0.855469,0.866211,0.821289,0.866211,0.847656
129,0.861328,0.868164,0.824219,0.864258,0.861328
130,0.861328,0.858398,0.821289,0.873047,0.864258
131,0.864258,0.862305,0.836914,0.876953,0.865234
132,0.862305,0.848633,0.836914,0.864258,0.863281
133,0.861328,0.841797,0.834961,0.853516,0.867188
134,0.850586,0.84668,0.837891,0.856445,0.853516
135,0.847656,0.837891,0.833008,0.850586,0.84668
136,0.850586,0.841797,0.833984,0.853516,0.850586
137,0.857422,0.832031,0.835938,0.84375,0.853516
138,0.848633,0.834961,0.844727,0.852539,0.855469
139,0.853516,0.836914,0.845703,0.84375,0.855469
140,0.859375,0.830078,0.844727,0.834961,0.859375
141,0.866211,0.84082,0.84668,0.849609,0.860352
142,0.856445,0.851562,0.836914,0.847656,0.856445
143,0.844727,0.84082,0.835938,0.841797,0.852539
144,0.844727,0.842773,0.839844,0.844727,0.84668
145,0.853516,0.851562,0.842773,0.845703,0.848633
146,0.858398,0.850586,0.845703,0.847656,0.850586
147,0.858398,0.849609,0.853516,0.852539,0.858398
148,0.860352,0.853516,0.855469,0.853516,0.856445
149,0.860352,0.84668,0.854492,0.856445,0.853516
150,0.858398,0.842773,0.847656,0.859375,0.852539
151,0.849609,0.847656,0.851562,0.856445,0.842773
152,0.847656,0.849609,0.851562,0.850586,0.84375
153,0.836914,0.847656,0.853516,0.842773,0.838867
154,0.837891,0.858398,0.859375,0.84375,0.836914
155,0.839844,0.856445,0.860352,0.84375,0.835938
156,0.837891,0.856445,0.862305,0.84668,0.829102
157,0.850586,0.866211,0.871094,0.856445,0.836914
158,0.864258,0.869141,0.875977,0.855469,0.847656
159,0.870117,0.865234,0.876953,0.878906,0.84375
160,0.880859,0.863281,0.880859,0.892578,0.853516
161,0.888672,0.875977,0.891602,0.897461,0.855469
162,0.897461,0.883789,0.892578,0.897461,0.859375
163,0.896484,0.87793,0.884766,0.893555,0.856445
164,0.901367,0.876953,0.888672,0.885742,0.845703
165,0.90332,0.87793,0.891602,0.888672,0.848633
166,0.90332,0.876953,0.895508,0.887695,0.858398
167,0.904297,0.885742,0.897461,0.899414,0.885742
168,0.907227,0.893555,0.901367,0.902344,0.893555
169,0.90625,0.896484,0.90332,0.902344,0.883789
170,0.893555,0.898438,0.902344,0.897461,0.883789
171,0.901367,0.904297,0.905273,0.900391,0.890625
172,0.90625,0.902344,0.908203,0.902344,0.896484
173,0.90918,0.905273,0.90918,0.907227,0.899414
174,0.90625,0.901367,0.913086,0.904297,0.901367
175,0.911133,0.895508,0.914062,0.901367,0.90332
176,0.90918,0.893555,0.915039,0.900391,0.908203
177,0.907227,0.891602,0.914062,0.896484,0.895508
178,0.899414,0.873047,0.886719,0.897461,0.891602
179,0.902344,0.87793,0.880859,0.896484,0.898438
180,0.654297,0.635742,0.662109,0.648438,0.649414
181,0.654297,0.639648,0.662109,0.650391,0.666016
182,0.661133,0.640625,0.665039,0.651367,0.673828
183,0.666992,0.641602,0.664062,0.65332,0.680664
184,0.665039,0.647461,0.665039,0.655273,0.680664
185,0.680664,0.648438,0.666992,0.65625,0.686523
186,0.683594,0.648438,0.666992,0.657227,0.696289
187,0.68457,0.647461,0.668945,0.65918,0.734375
188,0.68457,0.648438,0.668945,0.658203,0.75
189,0.689453,0.649414,0.671875,0.681641,0.763672
190,0.711914,0.651367,0.672852,0.700195,0.870117
191,0.710938,0.652344,0.675781,0.673828,0.875
192,0.700195,0.654297,0.674805,0.703125,0.865234
193,0.702148,0.654297,0.674805,0.703125,0.816406
194,0.671875,0.654297,0.674805,0.681641,0.848633
195,0.734375,0.654297,0.675781,0.746094,0.875977
196,0.898438,0.657227,0.677734,0.823242,0.935547
197,0.852539,0.657227,0.677734,0.802734,0.954102
198,0.875,0.657227,0.677734,0.795898,0.857422
199,0.841797,0.661133,0.680664,0.798828,0.814453
200,0.875,0.662109,0.682617,0.837891,0.811523
201,0.919922,0.663086,0.682617,0.929688,0.829102
202,0.933594,0.671875,0.685547,0.9375,0.825195
203,0.932617,0.672852,0.685547,0.959961,0.844727
204,0.952148,0.703125,0.689453,0.951172,0.833008
205,0.958008,0.723633,0.697266,0.958008,0.845703
206,0.959961,0.722656,0.699219,0.953125,0.852539
207,0.956055,0.713867,0.697266,0.96875,0.824219
208,0.847656,0.726562,0.700195,0.794922,0.819336
209,0.788086,0.732422,0.708984,0.791016,0.811523
210,0.791016,0.734375,0.716797,0.789062,0.84082
211,0.756836,0.738281,0.71582,0.780273,0.80957
212,0.774414,0.74707,0.72168,0.775391,0.8125
213,0.748047,0.753906,0.725586,0.780273,0.823242
214,0.736328,0.75293,0.732422,0.757812,0.786133
215,0.751953,0.754883,0.737305,0.765625,0.751953
216,0.746094,0.756836,0.738281,0.777344,0.750977
217,0.75,0.756836,0.740234,0.783203,0.756836
218,0.746094,0.738281,0.741211,0.775391,0.745117
219,0.745117,0.771484,0.753906,0.780273,0.760742
220,0.758789,0.787109,0.758789,0.789062,0.782227
221,0.779297,0.795898,0.772461,0.780273,0.782227
222,0.779297,0.777344,0.775391,0.767578,0.771484
223,0.782227,0.817383,0.78125,0.765625,0.768555
224,0.782227,0.771484,0.790039,0.764648,0.77832
225,0.789062,0.77832,0.808594,0.78418,0.790039
226,0.814453,0.777344,0.805664,0.795898,0.783203
227,0.817383,0.78125,0.820312,0.801758,0.78125
228,0.828125,0.788086,0.817383,0.792969,0.776367
229,0.847656,0.804688,0.813477,0.796875,0.780273
230,0.826172,0.77832,0.834961,0.797852,0.78125
231,0.825195,0.772461,0.864258,0.799805,0.796875
232,0.833984,0.775391,0.830078,0.803711,0.787109
233,0.835938,0.77832,0.819336,0.804688,0.787109
234,0.834961,0.788086,0.837891,0.799805,0.791016
235,0.854492,0.789062,0.851562,0.803711,0.793945
236,0.868164,0.875,0.887695,0.822266,0.797852
237,0.868164,0.875977,0.893555,0.822266,0.797852
238,0.868164,0.879883,0.888672,0.823242,0.799805
239,0.868164,0.878906,0.888672,0.823242,0.799805
240,0.879883,0.900391,0.911133,0.858398,0.836914
241,0.882812,0.894531,0.90918,0.849609,0.827148
242,0.886719,0.895508,0.90918,0.847656,0.831055
243,0.887695,0.895508,0.910156,0.845703,0.823242
244,0.879883,0.890625,0.897461,0.844727,0.819336
245,0.882812,0.890625,0.90332,0.84375,0.820312
246,0.887695,0.893555,0.910156,0.856445,0.817383
247,0.885742,0.892578,0.907227,0.860352,0.819336
248,0.889648,0.890625,0.912109,0.854492,0.834961
249,0.874023,0.895508,0.916992,0.854492,0.824219
250,0.883789,0.886719,0.901367,0.854492,0.857422
251,0.871094,0.879883,0.898438,0.834961,0.855469
252,0.871094,0.888672,0.894531,0.865234,0.889648
253,0.878906,0.887695,0.898438,0.875,0.861328
254,0.879883,0.891602,0.896484,0.893555,0.901367
255,0.887695,0.890625,0.895508,0.902344,0.899414
256,0.886719,0.889648,0.894531,0.900391,0.871094
257,0.896484,0.886719,0.90332,0.932617,0.948242
258,0.902344,0.878906,0.90625,0.916992,0.93457
259,0.90625,0.887695,0.908203,0.90625,0.929688
260,0.901367,0.875977,0.898438,0.910156,0.915039
261,0.905273,0.887695,0.907227,0.910156,0.931641
262,0.90332,0.875977,0.916992,0.915039,0.938477
263,0.90332,0.881836,0.911133,0.875,0.93457
264,0.900391,0.879883,0.90918,0.9375,0.931641
265,0.90625,0.881836,0.907227,0.941406,0.938477
266,0.910156,0.900391,0.919922,0.939453,0.942383
267,0.912109,0.899414,0.920898,0.922852,0.941406
268,0.918945,0.907227,0.931641,0.929688,0.957031
269,0.916992,0.907227,0.926758,0.930664,0.972656
270,0.914062,0.919922,0.930664,0.945312,0.978516
271,0.919922,0.93457,0.9375,0.959961,0.988281
272,0.914062,0.930664,0.926758,0.943359,0.976562
273,0.914062,0.924805,0.927734,0.936523,0.969727
274,0.916992,0.933594,0.939453,0.953125,0.955078
275,0.915039,0.939453,0.955078,0.951172,0.964844
276,0.919922,0.942383,0.950195,0.964844,0.96582
277,0.922852,0.943359,0.946289,0.966797,0.945312
278,0.916016,0.941406,0.941406,0.962891,0.941406
279,0.911133,0.929688,0.941406,0.956055,0.938477
280,0.916016,0.94043,0.949219,0.949219,0.94043
281,0.913086,0.925781,0.94043,0.933594,0.938477
