"Batch", "normal", "drift = NONE", "warning = NONE", "drift & warning = NONE"
144,0.836914,0.827148,0.84668,0.851562
145,0.849609,0.832031,0.851562,0.861328
146,0.836914,0.836914,0.853516,0.851562
147,0.835938,0.841797,0.853516,0.852539
148,0.84082,0.841797,0.851562,0.856445
149,0.838867,0.842773,0.852539,0.848633
150,0.84375,0.84375,0.854492,0.84668
151,0.84375,0.841797,0.852539,0.84668
152,0.842773,0.838867,0.851562,0.844727
153,0.84082,0.836914,0.850586,0.84375
154,0.84082,0.830078,0.855469,0.839844
155,0.842773,0.835938,0.858398,0.84082
156,0.838867,0.822266,0.863281,0.838867
157,0.84375,0.827148,0.859375,0.836914
158,0.873047,0.832031,0.863281,0.84082
159,0.87793,0.850586,0.875,0.847656
160,0.889648,0.860352,0.876953,0.848633
161,0.883789,0.864258,0.875977,0.850586
162,0.879883,0.865234,0.881836,0.857422
163,0.880859,0.87207,0.881836,0.860352
164,0.894531,0.865234,0.880859,0.860352
165,0.895508,0.869141,0.884766,0.864258
166,0.889648,0.871094,0.876953,0.862305
167,0.892578,0.87793,0.885742,0.858398
168,0.884766,0.879883,0.885742,0.867188
169,0.885742,0.87793,0.885742,0.87793
170,0.889648,0.874023,0.885742,0.876953
171,0.886719,0.888672,0.887695,0.876953
172,0.887695,0.899414,0.885742,0.882812
173,0.893555,0.902344,0.888672,0.888672
174,0.887695,0.898438,0.890625,0.891602
175,0.883789,0.887695,0.886719,0.890625
176,0.883789,0.890625,0.889648,0.893555
177,0.881836,0.878906,0.888672,0.886719
178,0.883789,0.878906,0.891602,0.874023
179,0.884766,0.888672,0.873047,0.875
180,0.636719,0.642578,0.641602,0.650391
181,0.637695,0.647461,0.641602,0.652344
182,0.640625,0.652344,0.643555,0.654297
183,0.640625,0.65332,0.646484,0.65625
184,0.642578,0.655273,0.647461,0.65625
185,0.643555,0.65625,0.646484,0.655273
186,0.644531,0.657227,0.647461,0.655273
187,0.649414,0.658203,0.648438,0.655273
188,0.649414,0.65918,0.65918,0.655273
189,0.649414,0.65918,0.654297,0.655273
190,0.650391,0.660156,0.654297,0.657227
191,0.654297,0.660156,0.65918,0.657227
192,0.661133,0.666016,0.657227,0.661133
193,0.662109,0.665039,0.657227,0.662109
194,0.660156,0.667969,0.661133,0.663086
195,0.660156,0.666992,0.658203,0.662109
196,0.668945,0.670898,0.670898,0.672852
197,0.668945,0.670898,0.668945,0.673828
198,0.673828,0.672852,0.669922,0.681641
199,0.676758,0.674805,0.677734,0.682617
200,0.678711,0.677734,0.692383,0.689453
201,0.680664,0.677734,0.700195,0.689453
202,0.682617,0.688477,0.730469,0.697266
203,0.692383,0.694336,0.744141,0.702148
204,0.740234,0.701172,0.777344,0.703125
205,0.755859,0.704102,0.841797,0.710938
206,0.765625,0.708008,0.834961,0.710938
207,0.794922,0.711914,0.850586,0.712891
208,0.801758,0.711914,0.817383,0.713867
209,0.81543,0.714844,0.805664,0.719727
210,0.816406,0.716797,0.804688,0.728516
211,0.791992,0.71875,0.75,0.726562
212,0.791992,0.728516,0.800781,0.732422
213,0.753906,0.729492,0.822266,0.732422
214,0.746094,0.725586,0.776367,0.736328
215,0.74707,0.730469,0.773438,0.737305
216,0.728516,0.732422,0.767578,0.740234
217,0.767578,0.730469,0.805664,0.740234
218,0.769531,0.731445,0.791992,0.740234
219,0.782227,0.732422,0.8125,0.743164
220,0.801758,0.744141,0.834961,0.746094
221,0.818359,0.745117,0.8125,0.74707
222,0.800781,0.745117,0.814453,0.74707
223,0.798828,0.75,0.822266,0.749023
224,0.780273,0.751953,0.819336,0.750977
225,0.798828,0.753906,0.862305,0.750977
226,0.789062,0.754883,0.850586,0.750977
227,0.790039,0.760742,0.856445,0.754883
228,0.78418,0.767578,0.852539,0.75293
229,0.785156,0.774414,0.850586,0.758789
230,0.785156,0.783203,0.853516,0.760742
231,0.788086,0.789062,0.865234,0.760742
232,0.795898,0.793945,0.837891,0.759766
233,0.797852,0.800781,0.835938,0.768555
234,0.796875,0.810547,0.849609,0.77832
235,0.795898,0.81543,0.845703,0.789062
236,0.814453,0.824219,0.883789,0.793945
237,0.81543,0.828125,0.884766,0.8125
238,0.817383,0.829102,0.886719,0.816406
239,0.816406,0.830078,0.892578,0.818359
240,0.887695,0.832031,0.880859,0.824219
241,0.880859,0.836914,0.883789,0.829102
242,0.881836,0.849609,0.898438,0.834961
243,0.882812,0.851562,0.896484,0.828125
244,0.875977,0.851562,0.893555,0.833984
245,0.878906,0.854492,0.893555,0.836914
246,0.881836,0.852539,0.897461,0.837891
247,0.882812,0.84668,0.898438,0.836914
248,0.885742,0.833008,0.902344,0.836914
249,0.885742,0.833984,0.894531,0.845703
250,0.885742,0.832031,0.896484,0.845703
251,0.875977,0.827148,0.882812,0.842773
252,0.875977,0.824219,0.883789,0.84082
253,0.881836,0.823242,0.884766,0.844727
254,0.879883,0.821289,0.90625,0.84375
255,0.886719,0.819336,0.917969,0.842773
256,0.866211,0.821289,0.914062,0.850586
257,0.842773,0.818359,0.90332,0.850586
258,0.870117,0.818359,0.924805,0.849609
259,0.870117,0.825195,0.931641,0.848633
260,0.871094,0.833984,0.902344,0.84668
261,0.869141,0.832031,0.896484,0.837891
262,0.864258,0.837891,0.876953,0.838867
263,0.881836,0.833984,0.904297,0.834961
264,0.888672,0.834961,0.893555,0.831055
265,0.893555,0.834961,0.895508,0.832031
266,0.90625,0.838867,0.913086,0.829102
267,0.905273,0.839844,0.915039,0.831055
268,0.912109,0.842773,0.915039,0.833984
269,0.913086,0.84375,0.908203,0.836914
270,0.919922,0.842773,0.915039,0.837891
271,0.925781,0.842773,0.925781,0.839844
272,0.929688,0.84375,0.917969,0.839844
273,0.931641,0.845703,0.908203,0.842773
274,0.925781,0.845703,0.902344,0.84375
275,0.924805,0.839844,0.895508,0.84375
276,0.923828,0.838867,0.90625,0.84375
277,0.924805,0.838867,0.920898,0.841797
278,0.922852,0.84082,0.902344,0.841797
279,0.917969,0.837891,0.894531,0.842773
280,0.920898,0.84375,0.897461,0.851562
281,0.922852,0.838867,0.923828,0.853516
282,0.926758,0.841797,0.918945,0.863281
283,0.938477,0.842773,0.920898,0.860352
284,0.933594,0.835938,0.914062,0.856445
285,0.936523,0.836914,0.921875,0.862305
286,0.933594,0.825195,0.926758,0.862305
287,0.9375,0.822266,0.924805,0.859375
288,0.929688,0.822266,0.920898,0.847656
289,0.925781,0.823242,0.911133,0.84375
290,0.925781,0.820312,0.911133,0.834961
291,0.927734,0.8125,0.911133,0.824219
292,0.928711,0.80957,0.902344,0.826172
293,0.921875,0.814453,0.888672,0.828125
294,0.915039,0.80957,0.896484,0.827148
295,0.897461,0.810547,0.900391,0.823242
296,0.897461,0.80957,0.890625,0.823242
297,0.905273,0.820312,0.885742,0.825195
298,0.902344,0.821289,0.882812,0.822266
299,0.900391,0.826172,0.886719,0.822266
300,0.897461,0.833008,0.879883,0.828125
301,0.87373,0.85377,0.876107,0.855583
