"Batch", "n_neighbors = 1", "n_neighbors = 3", "n_neighbors = 5", "n_neighbors = 10", "n_neighbors = 20"
143,0.88,0.948,0.968,0.972,0.968
144,0.872,0.948,0.952,0.96,0.96
145,0.908,0.956,0.948,0.96,0.96
146,0.892,0.948,0.956,0.964,0.964
147,0.852,0.948,0.972,0.98,0.996
148,0.872,0.94,0.964,0.984,0.976
149,0.92,0.972,0.988,0.984,0.984
150,0.896,0.972,0.98,0.98,0.976
151,0.84,0.856,0.896,0.884,0.888
152,0.836,0.892,0.888,0.896,0.904
153,0.892,0.904,0.916,0.924,0.952
154,0.912,0.952,0.948,0.972,0.972
155,0.876,0.944,0.976,0.98,0.968
156,0.856,0.928,0.952,0.964,0.956
157,0.9,0.932,0.944,0.964,0.964
158,0.892,0.932,0.956,0.96,0.96
159,0.884,0.936,0.968,0.972,0.98
160,0.884,0.96,0.976,0.96,0.968
161,0.836,0.916,0.944,0.952,0.952
162,0.88,0.928,0.936,0.956,0.944
163,0.844,0.872,0.92,0.932,0.932
164,0.848,0.928,0.944,0.948,0.944
165,0.872,0.92,0.964,0.964,0.964
166,0.876,0.94,0.964,0.964,0.972
167,0.852,0.932,0.944,0.94,0.952
168,0.88,0.952,0.96,0.968,0.964
169,0.908,0.952,0.976,0.98,0.984
170,0.912,0.936,0.968,0.976,0.968
171,0.852,0.92,0.94,0.956,0.952
172,0.884,0.904,0.92,0.944,0.964
173,0.896,0.948,0.956,0.96,0.964
174,0.892,0.932,0.924,0.936,0.952
175,0.896,0.944,0.972,0.964,0.96
176,0.88,0.916,0.952,0.956,0.94
177,0.864,0.932,0.968,0.96,0.964
178,0.868,0.94,0.948,0.968,0.98
179,0.864,0.896,0.912,0.916,0.94
180,0.868,0.952,0.964,0.976,0.964
181,0.908,0.94,0.96,0.98,0.968
182,0.88,0.936,0.96,0.968,0.964
183,0.848,0.92,0.928,0.948,0.972
184,0.884,0.932,0.952,0.972,0.972
185,0.92,0.956,0.972,0.972,0.972
186,0.904,0.96,0.972,0.964,0.964
187,0.876,0.932,0.956,0.956,0.96
188,0.88,0.96,0.96,0.936,0.94
189,0.908,0.944,0.972,0.96,0.96
190,0.9,0.948,0.96,0.964,0.968
191,0.86,0.932,0.928,0.936,0.956
192,0.868,0.916,0.936,0.956,0.968
193,0.86,0.928,0.956,0.948,0.952
194,0.868,0.912,0.932,0.948,0.968
195,0.88,0.948,0.964,0.956,0.948
196,0.872,0.94,0.96,0.96,0.956
197,0.884,0.932,0.956,0.94,0.924
198,0.848,0.904,0.944,0.952,0.952
199,0.856,0.92,0.94,0.948,0.928
200,0.884,0.944,0.94,0.944,0.952
201,0.87784,0.93782,0.955,0.9605,0.96204
