"Batch", "leaf_size = 10", "leaf_size = 20", "leaf_size = 30", "leaf_size = 40", "leaf_size = 50"
143,0.968,0.968,0.968,0.968,0.968
144,0.952,0.952,0.952,0.952,0.952
145,0.948,0.948,0.948,0.948,0.948
146,0.956,0.956,0.956,0.956,0.956
147,0.972,0.972,0.972,0.972,0.972
148,0.964,0.964,0.964,0.964,0.964
149,0.988,0.988,0.988,0.988,0.988
150,0.98,0.98,0.98,0.98,0.98
151,0.896,0.896,0.896,0.896,0.896
152,0.888,0.888,0.888,0.888,0.888
153,0.916,0.916,0.916,0.916,0.916
154,0.948,0.948,0.948,0.948,0.948
155,0.976,0.976,0.976,0.976,0.976
156,0.952,0.952,0.952,0.952,0.952
157,0.944,0.944,0.944,0.944,0.944
158,0.956,0.956,0.956,0.956,0.956
159,0.968,0.968,0.968,0.968,0.968
160,0.976,0.976,0.976,0.976,0.976
161,0.944,0.944,0.944,0.944,0.944
162,0.936,0.936,0.936,0.936,0.936
163,0.92,0.92,0.92,0.92,0.92
164,0.944,0.944,0.944,0.944,0.944
165,0.964,0.964,0.964,0.964,0.964
166,0.964,0.964,0.964,0.964,0.964
167,0.944,0.944,0.944,0.944,0.944
168,0.96,0.96,0.96,0.96,0.96
169,0.976,0.976,0.976,0.976,0.976
170,0.968,0.968,0.968,0.968,0.968
171,0.94,0.94,0.94,0.94,0.94
172,0.92,0.92,0.92,0.92,0.92
173,0.956,0.956,0.956,0.956,0.956
174,0.924,0.924,0.924,0.924,0.924
175,0.972,0.972,0.972,0.972,0.972
176,0.952,0.952,0.952,0.952,0.952
177,0.968,0.968,0.968,0.968,0.968
178,0.948,0.948,0.948,0.948,0.948
179,0.912,0.912,0.912,0.912,0.912
180,0.964,0.964,0.964,0.964,0.964
181,0.96,0.96,0.96,0.96,0.96
182,0.96,0.96,0.96,0.96,0.96
183,0.928,0.928,0.928,0.928,0.928
184,0.952,0.952,0.952,0.952,0.952
185,0.972,0.972,0.972,0.972,0.972
186,0.972,0.972,0.972,0.972,0.972
187,0.956,0.956,0.956,0.956,0.956
188,0.96,0.96,0.96,0.96,0.96
189,0.972,0.972,0.972,0.972,0.972
190,0.96,0.96,0.96,0.96,0.96
191,0.928,0.928,0.928,0.928,0.928
192,0.936,0.936,0.936,0.936,0.936
193,0.956,0.956,0.956,0.956,0.956
194,0.932,0.932,0.932,0.932,0.932
195,0.964,0.964,0.964,0.964,0.964
196,0.96,0.96,0.96,0.96,0.96
197,0.956,0.956,0.956,0.956,0.956
198,0.944,0.944,0.944,0.944,0.944
199,0.94,0.94,0.94,0.94,0.94
200,0.94,0.94,0.94,0.94,0.94
201,0.955,0.955,0.955,0.955,0.955
