0,0,0,0,0
0.936,0.944,0.9,0.936,0.896
0.956,0.944,0.936,0.968,0.948
0.956,0.964,0.956,0.968,0.948
0.964,0.972,0.936,0.968,0.944
0.96,0.952,0.952,0.96,0.936
0.992,0.976,0.984,0.976,0.968
0.98,0.976,0.968,0.968,0.972
0.984,0.984,0.984,0.992,0.988
0.976,0.996,0.988,0.98,0.984
0.988,0.992,0.98,0.984,0.992
0.992,1.0,0.996,0.98,0.992
0.96,0.956,0.956,0.972,0.968
0.96,0.956,0.96,0.96,0.972
0.988,0.976,0.98,0.976,0.992
0.968,0.972,0.988,0.976,0.976
0.98,0.976,0.968,0.988,0.976
0.98,0.988,0.984,0.988,0.98
0.984,0.992,0.98,0.988,0.984
0.988,0.976,0.976,0.988,0.972
0.992,0.988,0.988,0.996,0.988
0.992,0.992,0.992,0.992,0.988
0.988,0.984,0.988,0.988,0.992
0.98,0.976,0.996,0.984,0.988
0.984,0.992,0.996,0.988,0.992
0.988,0.988,0.992,0.984,0.992
0.992,0.988,0.984,0.984,0.984
0.988,0.98,0.984,0.984,0.992
0.984,0.988,0.972,0.98,0.984
0.98,0.988,0.984,0.992,0.992
0.988,0.988,0.992,0.988,0.984
0.992,0.972,0.98,0.992,0.984
0.996,0.988,0.988,0.976,0.984
0.984,0.988,0.988,0.988,0.984
0.984,0.976,0.976,0.988,0.988
0.988,0.996,0.98,0.996,0.992
0.992,0.992,0.992,0.996,0.996
0.996,0.992,0.984,1.0,0.988
0.992,0.992,0.992,0.996,0.992
1.0,0.984,0.992,0.992,0.992
0.992,0.996,0.996,0.996,0.996
0.992,0.984,0.984,0.984,0.992
0.992,0.992,0.992,0.996,0.992
0.996,1.0,0.992,1.0,0.996
0.996,0.984,0.996,0.992,0.988
0.984,0.988,0.984,0.98,0.992
0.98,0.98,0.988,0.976,0.988
0.996,0.996,0.996,0.992,0.992
0.996,0.98,0.984,0.976,0.98
0.984,0.984,0.992,0.984,0.984
1.0,0.988,1.0,1.0,0.992
0.932,0.932,0.936,0.936,0.932
0.932,0.936,0.928,0.936,0.936
0.924,0.936,0.928,0.924,0.928
0.944,0.944,0.944,0.944,0.948
0.924,0.924,0.916,0.916,0.912
0.928,0.928,0.92,0.932,0.932
0.912,0.912,0.916,0.912,0.912
0.924,0.936,0.928,0.936,0.932
0.928,0.928,0.924,0.932,0.932
0.948,0.944,0.952,0.948,0.948
0.92,0.916,0.912,0.912,0.9
0.952,0.964,0.964,0.96,0.956
0.936,0.928,0.928,0.936,0.924
0.916,0.924,0.932,0.928,0.932
0.92,0.92,0.92,0.94,0.936
0.94,0.944,0.936,0.956,0.952
0.944,0.948,0.928,0.944,0.932
0.948,0.924,0.936,0.952,0.944
0.952,0.96,0.956,0.968,0.96
0.96,0.956,0.968,0.96,0.948
0.968,0.956,0.96,0.968,0.964
0.952,0.96,0.952,0.964,0.964
0.96,0.948,0.972,0.976,0.964
0.972,0.96,0.976,0.968,0.964
0.964,0.944,0.964,0.964,0.956
0.976,0.98,0.98,0.98,0.976
0.972,0.972,0.976,0.976,0.98
0.968,0.952,0.956,0.952,0.956
0.96,0.968,0.976,0.968,0.964
0.964,0.956,0.956,0.952,0.964
0.968,0.956,0.972,0.964,0.968
0.96,0.952,0.98,0.96,0.968
0.968,0.972,0.964,0.968,0.98
0.952,0.94,0.956,0.972,0.936
0.972,0.96,0.96,0.964,0.944
0.976,0.976,0.96,0.968,0.98
0.98,0.976,0.976,0.988,0.988
0.996,0.988,0.984,0.984,0.992
0.98,0.98,0.988,0.976,0.972
0.968,0.972,0.968,0.968,0.968
0.976,0.968,0.98,0.988,0.972
0.964,0.956,0.968,0.956,0.968
0.988,0.968,0.976,0.984,0.98
0.976,0.968,0.976,0.972,0.968
0.976,0.98,0.968,0.992,0.968
0.98,0.98,0.964,0.976,0.976
0.98,0.976,0.98,0.972,0.96
0.992,0.976,0.964,0.976,0.972
0.98,0.976,0.976,0.984,0.98
0.972,0.968,0.968,0.972,0.98
0.876,0.88,0.876,0.876,0.872
0.848,0.856,0.836,0.856,0.864
0.884,0.896,0.876,0.884,0.892
0.86,0.876,0.88,0.884,0.892
0.876,0.876,0.884,0.888,0.892
0.908,0.904,0.892,0.912,0.908
0.884,0.884,0.892,0.876,0.9
0.908,0.9,0.912,0.904,0.932
0.912,0.9,0.896,0.912,0.912
0.924,0.896,0.912,0.912,0.92
0.904,0.904,0.92,0.9,0.924
0.908,0.892,0.916,0.9,0.924
0.896,0.896,0.928,0.904,0.964
0.94,0.912,0.924,0.924,0.968
0.956,0.9,0.916,0.908,0.964
0.956,0.916,0.928,0.948,0.96
0.964,0.936,0.932,0.948,0.976
0.972,0.952,0.956,0.956,0.984
0.976,0.944,0.964,0.984,0.988
0.98,0.952,0.968,0.96,0.968
0.988,0.96,0.952,0.98,0.992
0.976,0.948,0.96,0.972,0.988
0.98,0.956,0.956,0.976,0.976
0.976,0.952,0.964,0.972,0.988
0.964,0.964,0.952,0.96,0.976
0.996,0.976,0.976,0.984,0.984
0.984,0.98,0.988,0.984,0.996
0.996,0.992,0.984,0.996,0.988
0.988,0.98,0.988,0.988,0.996
0.988,0.976,0.98,0.988,0.992
0.98,0.968,0.984,0.984,0.976
0.992,0.98,0.988,0.988,0.984
0.996,0.988,0.992,0.996,0.992
0.996,0.996,0.996,0.988,0.992
1.0,0.992,0.988,1.0,1.0
0.984,0.98,0.996,0.984,0.98
0.988,0.984,0.988,0.98,0.984
0.984,0.988,0.992,0.98,0.98
0.996,0.988,1.0,0.98,0.992
0.992,0.992,0.996,0.992,0.996
0.996,0.984,0.988,0.992,0.98
0.984,0.972,0.992,0.976,0.984
0.992,0.992,0.992,0.984,0.98
0.988,0.988,0.98,0.984,0.976
0.996,0.996,0.992,0.996,0.988
0.996,0.992,0.992,0.988,0.984
0.996,0.996,1.0,0.996,0.992
0.988,0.988,0.996,0.988,1.0
1.0,0.996,0.996,1.0,0.996
0.996,0.988,0.992,0.988,0.992
0.868,0.864,0.868,0.856,0.864
0.848,0.836,0.824,0.824,0.82
0.816,0.804,0.788,0.792,0.812
0.88,0.864,0.828,0.832,0.884
0.936,0.896,0.86,0.956,0.964
0.952,0.876,0.84,0.948,0.928
0.956,0.944,0.876,0.96,0.952
0.94,0.956,0.892,0.94,0.94
0.976,0.968,0.932,0.972,0.964
0.964,0.968,0.968,0.968,0.976
0.964,0.956,0.944,0.968,0.976
0.976,0.956,0.94,0.964,0.968
0.964,0.936,0.944,0.932,0.98
0.98,0.968,0.98,0.98,0.988
0.992,0.98,0.976,0.984,0.988
0.976,0.956,0.964,0.964,0.968
0.98,0.968,0.96,0.968,0.956
0.976,0.98,0.976,0.984,0.988
0.984,0.984,0.988,0.984,0.984
0.996,0.992,0.984,0.984,0.992
0.988,0.972,0.984,0.996,0.988
0.968,0.96,0.972,0.988,0.988
0.984,0.984,0.98,0.976,0.984
0.984,0.98,0.972,1.0,0.968
0.98,0.984,0.968,0.988,0.968
0.988,0.988,0.968,0.988,0.98
0.984,0.984,0.976,0.988,0.984
0.988,0.988,0.988,0.992,0.992
0.984,0.972,0.976,0.988,0.992
0.98,0.98,0.96,0.98,0.976
0.996,0.996,0.968,0.988,0.972
0.996,0.988,0.988,0.992,1.0
0.992,0.984,0.968,0.992,0.988
0.98,0.984,0.976,0.98,0.98
0.988,0.984,0.988,0.988,0.996
0.984,0.992,0.98,0.996,0.98
0.976,0.964,0.972,0.98,0.992
0.992,0.972,0.976,0.98,0.988
0.984,0.98,0.984,0.992,0.988
0.984,0.988,0.976,0.996,0.988
0.992,0.976,0.976,0.984,0.992
0.992,0.984,0.992,0.992,0.984
0.98,0.972,0.98,0.988,0.984
0.996,0.996,0.992,0.992,0.988
0.996,0.996,0.996,0.992,0.988
0.98,0.988,0.972,0.976,0.988
0.996,0.976,0.992,0.988,1.0
0.988,0.988,0.98,0.988,0.988
0.996,0.992,0.984,0.988,0.98
0.992,0.984,0.976,0.98,0.976
0.96782,0.96208,0.96112,0.96648,0.96752
