0,0,0,0
0.92,0.976,0.94,0.952
0.96,0.952,0.956,0.96
0.98,0.948,0.972,0.964
0.956,0.964,0.968,0.948
0.948,0.952,0.968,0.952
0.976,0.968,0.988,0.976
0.964,0.984,0.952,0.976
0.988,0.98,0.98,0.992
0.984,0.972,0.976,0.984
0.996,0.996,0.996,0.988
0.996,0.992,0.988,0.992
0.972,0.96,0.968,0.972
0.956,0.968,0.964,0.972
0.984,0.976,0.98,0.984
0.976,0.976,0.98,0.98
0.988,0.98,0.968,0.992
0.988,0.988,0.976,0.984
0.992,0.988,0.984,0.992
0.984,0.976,0.984,0.992
1.0,0.988,0.996,0.988
0.984,1.0,1.0,0.988
0.984,0.984,0.992,0.996
0.984,0.988,0.988,0.988
0.992,0.992,1.0,0.996
0.988,0.988,0.988,0.988
0.98,0.996,0.996,0.992
0.98,0.968,0.984,0.988
0.98,0.976,0.972,0.984
0.98,0.98,0.98,0.984
0.98,0.992,0.988,0.988
0.988,0.988,0.992,0.992
0.968,0.996,0.984,0.98
0.984,0.988,0.988,0.988
0.976,0.976,0.988,0.98
0.988,0.992,0.992,0.988
0.988,0.992,0.992,0.992
0.988,0.996,0.98,0.996
0.992,0.996,0.992,0.996
0.996,0.996,0.996,0.988
1.0,1.0,0.996,0.992
0.984,0.984,0.992,0.976
1.0,0.988,0.988,1.0
0.996,1.0,1.0,0.996
0.992,0.988,0.992,0.996
0.988,0.992,0.988,0.988
0.984,0.988,0.972,0.98
0.984,0.992,0.992,0.992
0.984,0.992,0.988,0.984
0.988,1.0,0.988,0.992
0.988,1.0,0.992,1.0
0.932,0.924,0.936,0.928
0.936,0.928,0.936,0.932
0.932,0.928,0.928,0.928
0.944,0.944,0.956,0.94
0.908,0.932,0.92,0.916
0.932,0.936,0.932,0.928
0.916,0.912,0.924,0.92
0.932,0.928,0.928,0.932
0.928,0.928,0.928,0.928
0.948,0.94,0.96,0.952
0.912,0.904,0.92,0.916
0.972,0.96,0.956,0.964
0.932,0.936,0.92,0.928
0.94,0.924,0.928,0.912
0.916,0.932,0.932,0.932
0.944,0.944,0.94,0.956
0.936,0.94,0.944,0.94
0.944,0.94,0.948,0.952
0.968,0.964,0.952,0.972
0.964,0.952,0.94,0.956
0.96,0.96,0.956,0.968
0.956,0.956,0.96,0.972
0.956,0.944,0.964,0.956
0.964,0.968,0.968,0.96
0.964,0.96,0.96,0.956
0.98,0.972,0.984,0.976
0.98,0.976,0.964,0.964
0.964,0.952,0.956,0.944
0.976,0.968,0.968,0.972
0.964,0.956,0.972,0.956
0.96,0.968,0.968,0.968
0.98,0.972,0.956,0.952
0.972,0.972,0.98,0.98
0.952,0.964,0.972,0.936
0.96,0.956,0.948,0.964
0.972,0.964,0.972,0.98
0.992,0.976,0.972,0.98
0.988,0.984,0.98,0.996
0.968,0.968,0.976,0.968
0.972,0.964,0.964,0.968
0.972,0.98,0.972,0.964
0.96,0.956,0.968,0.968
0.98,0.972,0.984,0.972
0.976,0.976,0.972,0.984
0.984,0.956,0.984,0.988
0.98,0.984,0.988,0.976
0.988,0.976,0.968,0.984
0.984,0.976,0.972,0.984
0.984,0.976,0.984,0.984
0.968,0.96,0.964,0.964
0.88,0.868,0.876,0.872
0.856,0.868,0.856,0.856
0.888,0.888,0.884,0.884
0.884,0.868,0.868,0.864
0.868,0.888,0.868,0.864
0.904,0.908,0.892,0.904
0.892,0.904,0.872,0.876
0.916,0.912,0.912,0.896
0.924,0.904,0.896,0.9
0.928,0.92,0.92,0.896
0.952,0.92,0.916,0.896
0.924,0.916,0.9,0.896
0.96,0.964,0.908,0.944
0.952,0.972,0.924,0.924
0.948,0.976,0.92,0.968
0.984,0.98,0.948,0.98
0.952,0.968,0.94,0.976
0.976,0.976,0.968,0.984
0.984,0.984,0.964,0.992
0.976,0.976,0.968,0.988
0.984,0.984,0.968,0.984
0.98,0.984,0.968,0.972
0.976,0.98,0.984,0.972
0.972,0.988,0.984,0.988
0.972,0.98,0.964,0.972
0.988,0.988,0.988,0.98
0.992,0.988,0.988,1.0
0.984,0.992,0.988,1.0
0.988,0.988,0.976,0.996
0.984,0.976,0.984,0.992
0.98,0.996,0.98,0.988
0.988,0.996,0.968,0.984
0.996,0.996,0.996,0.996
1.0,0.996,0.996,0.984
0.996,0.996,0.988,0.992
0.984,0.988,0.988,0.996
0.988,0.976,0.98,0.988
0.984,0.98,0.98,0.98
0.996,0.992,0.988,0.988
0.996,0.992,0.988,0.996
0.992,0.988,0.984,0.996
0.988,0.98,0.98,0.976
0.976,0.992,0.984,0.992
0.984,0.988,0.988,0.98
1.0,0.992,0.98,0.992
0.992,0.992,0.984,0.992
0.996,1.0,0.996,0.996
0.992,0.992,1.0,0.988
0.996,0.996,0.996,1.0
0.992,0.992,0.992,0.992
0.868,0.864,0.872,0.868
0.816,0.82,0.816,0.824
0.808,0.82,0.8,0.792
0.884,0.876,0.828,0.836
0.948,0.976,0.9,0.912
0.944,0.956,0.896,0.904
0.956,0.972,0.936,0.928
0.948,0.948,0.952,0.936
0.96,0.964,0.976,0.964
0.968,0.976,0.964,0.964
0.948,0.964,0.948,0.972
0.964,0.972,0.952,0.976
0.968,0.952,0.944,0.944
0.976,0.976,0.984,0.984
0.992,0.992,0.98,0.992
0.976,0.98,0.972,0.964
0.968,0.968,0.964,0.972
0.976,0.98,0.972,0.968
0.988,0.98,0.98,0.984
0.984,0.992,0.98,0.98
0.988,0.984,0.972,0.984
0.964,0.976,0.972,0.968
0.98,0.984,0.984,0.98
0.98,0.98,0.98,0.976
0.972,0.988,0.98,0.972
0.976,0.984,0.98,0.992
0.988,0.988,0.98,0.988
0.988,0.992,0.984,0.992
0.98,0.976,0.984,0.984
0.968,0.968,0.976,0.972
0.984,0.988,0.984,0.984
0.988,0.992,0.988,0.996
0.984,0.992,0.992,0.98
0.98,0.984,0.984,0.984
0.988,0.996,0.996,0.992
0.988,0.984,0.984,0.984
0.98,0.976,0.968,0.976
0.988,0.98,0.976,0.98
0.988,0.98,0.98,0.984
0.98,0.988,0.984,0.992
0.976,0.976,0.984,0.984
0.984,0.992,0.992,0.996
0.988,0.976,0.988,0.992
0.992,0.988,0.996,0.984
0.992,0.996,0.984,0.992
0.98,0.996,0.98,1.0
0.98,0.988,0.996,0.992
0.996,0.988,0.984,0.992
0.992,0.988,0.984,0.992
0.98,0.98,0.98,0.984
0.96752,0.96802,0.96414,0.96644
